Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Subcellular location [CC]
P40009	reviewed	YND1_YEAST	Golgi apyrase (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (Golgi nucleoside diphosphatase) (Yeast nucleoside diphosphatase 1)	YND1 YER005W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	630	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:10409709, ECO:0000269|PubMed:14562095}. Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P40010	reviewed	NUG1_YEAST	Nuclear GTP-binding protein NUG1 (Nuclear GTPase 1)	NUG1 YER006W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	520	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11583615}.
P40011	reviewed	RRAAH_YEAST	4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112) (Regulator of ribonuclease activity homolog) (RraA-like protein)	YER010C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234	
P40013	reviewed	BIM1_YEAST	Protein BIM1	BIM1 YER016W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	344	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
P40014	reviewed	SPC25_YEAST	Kinetochore protein SPC25	SPC25 YER018C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11179222}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:11179222, ECO:0000269|PubMed:11266451}. Note=Associated with kinetochores. {ECO:0000269|PubMed:11179222}.
P40015	reviewed	ISC1_YEAST	Inositol phosphosphingolipids phospholipase C (IPS phospholipase C) (IPS-PLC) (EC 3.1.4.-) (Neutral sphingomyelinase) (N-SMase) (nSMase)	ISC1 YER019W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	477	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14699160}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000269|PubMed:14699160, ECO:0000269|PubMed:17880915}; Multi-pass membrane protein {ECO:0000255}. Note=Localization is regulated in a growth-dependent manner. Predominantly in the ER during early growth and becomes associated with mitochondria in late logarithmic growth. {ECO:0000269|PubMed:14699160}.
P40016	reviewed	RPN3_YEAST	26S proteasome regulatory subunit RPN3	RPN3 SUN2 YER021W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523	
P40018	reviewed	RSMB_YEAST	Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (Sm protein B) (Sm-B) (SmB)	SMB1 YER029C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	196	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q10163}. Cytoplasm {ECO:0000250|UniProtKB:Q10163}.
P40021	reviewed	ZRG8_YEAST	Zinc-regulated protein 8	ZRG8 YER033C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1076	SUBCELLULAR LOCATION: Cytoplasm. Bud. Bud neck. Bud tip. Note=Localized to the cortex of small and large buds during bud growth, to the bud neck during mitotic exit and to the tips of mating projections in pheromone-treated cells.
P40024	reviewed	ARB1_YEAST	ABC transporter ATP-binding protein ARB1 (ATP-binding cassette protein involved in ribosome biogenesis 1)	ARB1 YER036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	610	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16260602}. Nucleus {ECO:0000269|PubMed:16260602}. Note=Shuttles between the cytoplasm and the nucleus.
P40028	reviewed	YEN1_YEAST	Holliday junction resolvase YEN1 (EC 3.1.-.-)	YEN1 YER041W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	759	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19520826}. Nucleus {ECO:0000269|PubMed:19520826}. Note=Predominantly nuclear in G1-arrested cells, but cytoplasmically localized after release from G1 arrest.
P40032	reviewed	TPA1_YEAST	Prolyl 3,4-dihydroxylase TPA1 (EC 1.14.11.-) (Termination and polyadenylation protein 1) (uS12 prolyl 3,4-dihydroxylase)	TPA1 YER049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	644	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P40034	reviewed	JHD1_YEAST	JmjC domain-containing histone demethylation protein 1 (EC 1.14.11.27) (Jumonji/ARID domain-containing protein 1) (ScJHDM1) ([Histone-H3]-lysine-36 demethylase 1)	JHD1 YER051W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
P40046	reviewed	VTC1_YEAST	Vacuolar transporter chaperone 1 (Negative regulator of CDC42 protein 1) (Phosphate metabolism protein 4)	VTC1 NRF1 PHM4 YER072W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	129	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:10480897, ECO:0000269|PubMed:12584253}; Multi-pass membrane protein {ECO:0000269|PubMed:10480897, ECO:0000269|PubMed:12584253}.
P40047	reviewed	ALDH5_YEAST	Aldehyde dehydrogenase 5, mitochondrial (EC 1.2.1.-) (EC 1.2.1.4)	ALD5 ALD3 ALDH5 YER073W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	520	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:9473035}.
P40048	reviewed	PTP3_YEAST	Tyrosine-protein phosphatase 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase 3) (PTPase 3)	PTP3 YER075C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	928	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P40051	reviewed	ICP55_YEAST	Intermediate cleaving peptidase 55 (EC 3.4.11.26) (Intermediate cleaving peptidase of 55 kDa)	ICP55 YER078C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19720832}. Mitochondrion inner membrane {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:19720832}; Peripheral membrane protein {ECO:0000269|PubMed:19720832}; Matrix side {ECO:0000269|PubMed:19720832}. Note=Has the same dual localization (mitochondrion and nucleus) as one of its substrate, NFS1. {ECO:0000269|PubMed:19720832}.
P40054	reviewed	SERA_YEAST	D-3-phosphoglycerate dehydrogenase 1 (3-PGDH 1) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	SER3 YER081W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469	
P40055	reviewed	UTP7_YEAST	U3 small nucleolar RNA-associated protein 7 (U3 snoRNA-associated protein 7) (U three protein 7)	UTP7 KRE31 YER082C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	554	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12068309}.
P40056	reviewed	GET2_YEAST	Golgi to ER traffic protein 2 (Guided entry of tail-anchored proteins 2) (Hydroxyurea resistance protein 2) (Required for meiotic nuclear division protein 7)	GET2 HUR2 RMD7 YER083C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	285	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein.
P40059	reviewed	DOT6_YEAST	Transcriptional regulatory protein DOT6 (Disrupter of telomere silencing protein 6) (PAC-binding factor 2)	DOT6 PBF2 YER088C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	670	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P40061	reviewed	TSC11_YEAST	Target of rapamycin complex 2 subunit TSC11 (TORC2 subunit TSC11) (Adheres voraciously to TOR2 protein 3) (Temperature-sensitive CSG2 suppressor protein 11)	TSC11 AVO3 YER093C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1430	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12631735}; Peripheral membrane protein {ECO:0000269|PubMed:12631735}; Cytoplasmic side {ECO:0000269|PubMed:12631735}. Vacuole membrane {ECO:0000269|PubMed:12631735}; Peripheral membrane protein {ECO:0000269|PubMed:12631735}; Cytoplasmic side {ECO:0000269|PubMed:12631735}.
P40064	reviewed	NU157_YEAST	Nucleoporin NUP157 (Nuclear pore protein NUP157)	NUP157 YER105C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1391	SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:10684247}. Nucleus membrane; Peripheral membrane protein; Cytoplasmic side. Nucleus membrane; Peripheral membrane protein; Nucleoplasmic side. Note=Symmetric distribution.
P40065	reviewed	MAM1_YEAST	Monopolin complex subunit MAM1 (Monopolar microtubule attachment during meiosis 1 protein 1)	MAM1 YER106W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	302	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11163190, ECO:0000269|PubMed:12663816, ECO:0000269|PubMed:12689592, ECO:0000269|PubMed:12717442, ECO:0000269|PubMed:15620645}. Note=Localizes to kinechores during late pachytene.
P40066	reviewed	GLE2_YEAST	mRNA export factor GLE2 (Nuclear pore protein GLE2) (Nucleoporin GLE2) (poly(A) RNA export protein RAE1)	GLE2 RAE1 YER107C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	365	SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:10684247}. Nucleus membrane; Peripheral membrane protein; Cytoplasmic side. Nucleus membrane; Peripheral membrane protein; Nucleoplasmic side. Note=Symmetric distribution.
P40068	reviewed	FLO8_YEAST	Transcriptional activator FLO8 (Protein PDH5)	FLO8 PDH5 YER109C YER108C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	799	SUBCELLULAR LOCATION: Nucleus.
P40069	reviewed	IMB4_YEAST	Importin subunit beta-4 (Importin-123) (Karyopherin subunit beta-4) (Karyopherin-123) (Ran-binding protein YRB4)	KAP123 YRB4 YER110C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1113	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9238021, ECO:0000269|PubMed:9321403}. Nucleus {ECO:0000269|PubMed:9238021, ECO:0000269|PubMed:9321403}. Nucleus, nuclear pore complex {ECO:0000269|PubMed:9321403}.
P40070	reviewed	LSM4_YEAST	U6 snRNA-associated Sm-like protein LSm4 (Like-SM protein 4)	LSM4 SDB23 USS1 YER112W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	187	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.
P40072	reviewed	SLX8_YEAST	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX8 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SLX8) (Synthetic lethal of unknown function protein 8)	SLX8 YER116C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	274	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17591698, ECO:0000269|PubMed:18948542}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:26906737}. Note=Localizes to few distinct genomic hotspots of non-H2B protein ubiquitination (ub-hotspots). {ECO:0000269|PubMed:31015336}.
P40073	reviewed	SHO1_YEAST	High osmolarity signaling protein SHO1 (Osmosensor SHO1) (Suppressor of SUA8-1 mutation) (Synthetic high osmolarity-sensitive protein 1)	SHO1 SSU81 YER118C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	367	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Bud. Bud neck. Cell projection. Note=Localizes at the tip of the mating projection during conjugation.
P40075	reviewed	SCS2_YEAST	Vesicle-associated membrane protein-associated protein SCS2 (VAMP-associated protein SCS2) (Choline sensitivity suppressor protein 2) (VAP homolog 1)	SCS2 YER120W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type IV membrane protein. Nucleus membrane; Single-pass type IV membrane protein.
P40078	reviewed	NSA2_YEAST	Ribosome biogenesis protein NSA2 (NOP7-associated protein 2)	NSA2 YER126C SYGP-ORF47	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000305}.
P40084	reviewed	RTR1_YEAST	RNA polymerase II subunit B1 CTD phosphatase RTR1 (EC 3.1.3.16) (RNA polymerase II-associated protein 2 homolog RTR1) (Regulator of transcription 1)	RTR1 YER139C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	226	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Shuttles constitutively between the cytoplasm and the nucleus.
P40086	reviewed	COX15_YEAST	Cytochrome c oxidase assembly protein COX15 (Heme a synthase COX15)	COX15 YER141W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	486	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:9228094}; Multi-pass membrane protein {ECO:0000269|PubMed:9228094}.
P40087	reviewed	DDI1_YEAST	DNA damage-inducible protein 1 (EC 3.4.23.-) (v-SNARE-master 1)	DDI1 VSM1 YER143W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	428	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10330187}. Cell membrane {ECO:0000269|PubMed:10330187}; Peripheral membrane protein {ECO:0000269|PubMed:10330187}; Cytoplasmic side {ECO:0000269|PubMed:10330187}.
P40089	reviewed	LSM5_YEAST	U6 snRNA-associated Sm-like protein LSm5	LSM5 YER146W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	93	SUBCELLULAR LOCATION: Nucleus.
P40090	reviewed	SCC4_YEAST	MAU2 chromatid cohesion factor homolog (Sister chromatid cohesion protein 4)	SCC4 YER147C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	624	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10882066, ECO:0000269|PubMed:25173104}. Note=Associates with chromatin. {ECO:0000269|PubMed:10882066, ECO:0000269|PubMed:25173104}.
P40091	reviewed	PEA2_YEAST	Protein PEA2 (Protein PPF2)	PEA2 PPF2 YER149C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	420	
P40094	reviewed	COG3_YEAST	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3) (Protein SEC34)	COG3 GRD20 SEC34 YER157W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	801	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:10562277, ECO:0000269|PubMed:10588657}; Peripheral membrane protein {ECO:0000269|PubMed:10562277, ECO:0000269|PubMed:10588657}; Cytoplasmic side {ECO:0000269|PubMed:10562277, ECO:0000269|PubMed:10588657}.
P40096	reviewed	NCB1_YEAST	Negative cofactor 2 complex subunit alpha (NC2 complex subunit alpha) (Transcription repressor BUR6)	BUR6 NCB1 YER159C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	142	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P40106	reviewed	GPP2_YEAST	Glycerol-1-phosphate phosphohydrolase 2 (EC 3.1.3.21) ((DL)-glycerol-3-phosphatase 2) (Hyperosmolarity-responsive protein 2)	GPP2 HOR2 YER062C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
P40107	reviewed	GMT1_YEAST	GDP-mannose transporter 1 (GMT 1) (Low dye-binding protein 3) (Morphogenesis checkpoint-dependent protein 3) (Vanadate resistance glycosylation protein 4)	VRG4 GOG5 LDB3 MCD3 VAN2 VIG4 YGL225W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337	SUBCELLULAR LOCATION: Golgi apparatus membrane; Multi-pass membrane protein. Cytoplasmic vesicle membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane; Multi-pass membrane protein. Note=Recycles between the Golgi apparatus and the endoplasmic reticulum.
P40150	reviewed	SSB2_YEAST	Ribosome-associated molecular chaperone SSB2 (EC 3.6.4.10) (Heat shock protein SSB2) (Hsp70 chaperone Ssb)	SSB2 YG103 YNL209W N1333	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	613	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23332755, ECO:0000305|PubMed:1394434}. Note=About 50% of the protein is associated with translating ribosomes, but sufficient Ssb exists in the cell for each ribosome to be associated with at least one Ssb molecule. {ECO:0000269|PubMed:1394434, ECO:0000269|PubMed:23332755, ECO:0000269|PubMed:9670014}.
P40160	reviewed	RIO2_YEAST	Serine/threonine-protein kinase RIO2 (EC 2.7.11.1)	RIO2 YNL207W N1342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	425	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Predominantly cytoplasmic.
P40161	reviewed	RT106_YEAST	Histone chaperone RTT106 (Regulator of Ty1 transposition protein 106)	RTT106 YNL206C N1346	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	455	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19683497}. Chromosome {ECO:0000269|PubMed:19683497}. Note=Localizes to the promoter region of histones HTA1-HTB1, HHT1-HHF1, and HHT2-HHF2,. {ECO:0000269|PubMed:19683497}.
P40164	reviewed	PP4R3_YEAST	Serine/threonine-protein phosphatase 4 regulatory subunit 3 (PP4R3)	PSY2 YNL201C N1366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	858	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P40167	reviewed	SLZ1_YEAST	Sporulation-specific with a leucine zipper motif protein 1	SLZ1 YNL196C N1386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24269006}. Nucleus, nucleolus {ECO:0000269|PubMed:24269006}. Note=Mediates localization of the MIS complex to the nucleolus during the period of m6A mRNA accumulation.
P40186	reviewed	PCL7_YEAST	PHO85 cyclin-7 (PHO85-associated protein 1)	PCL7 PAP1 YIL050W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	285	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P40202	reviewed	CCS1_YEAST	Superoxide dismutase 1 copper chaperone	CCS1 LYS7 YMR038C YM9532.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	249	SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}. Note=A small percentage (around 1-5 percent) localizes to the mitochondrial intermembrane space.
P40204	reviewed	RUXG_YEAST	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)	SMX2 SNP2 YFL017W-A YFL017Bw	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	77	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O74966}. Cytoplasm {ECO:0000250|UniProtKB:O74966}.
P40208	reviewed	GID8_YEAST	Glucose-induced degradation protein 8 (Dosage-dependent cell cycle regulator 1)	GID8 DCR1 YMR135C YM9375.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	455	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.
P40215	reviewed	NDH1_YEAST	External NADH-ubiquinone oxidoreductase 1, mitochondrial (EC 1.6.5.9) (External NADH dehydrogenase 1)	NDE1 NDH1 YMR145C YM9375.14C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	560	SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:14576278}.
P40217	reviewed	EIF3I_YEAST	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 39 kDa subunit) (eIF-3 39 kDa subunit) (eIF3 p39)	TIF34 YMR146C YM9375.16C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	347	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03008}.
P40302	reviewed	PSA6_YEAST	Proteasome subunit alpha type-6 (Macropain subunit PRE5) (Multicatalytic endopeptidase complex subunit PRE5) (Proteasome component PRE5) (Proteinase YSCE subunit PRE5)	PRE5 YMR314W YM9924.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.
P40303	reviewed	PSA4_YEAST	Proteasome subunit alpha type-4 (Macropain subunit PRE6) (Multicatalytic endopeptidase complex subunit PRE6) (Proteasome component PRE6) (Proteinase YSCE subunit PRE6)	PRE6 YOL038W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
P40308	reviewed	TGL3_YEAST	Triacylglycerol lipase 3 (EC 3.1.1.3) (Lipase 3)	TGL3 YMR313C YM9924.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642	SUBCELLULAR LOCATION: Lipid droplet {ECO:0000269|PubMed:10515935, ECO:0000269|PubMed:12682047, ECO:0000269|PubMed:21820081, ECO:0000269|PubMed:23673660, ECO:0000269|PubMed:24868093}. Note=Partially retained in the endoplasmic reticulum in cells lacking triacylglycerols. {ECO:0000269|PubMed:23673660}.
P40316	reviewed	SECU_YEAST	Securin	PDS1 YDR113C YD9727.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	373	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.
P40318	reviewed	DOA10_YEAST	ERAD-associated E3 ubiquitin-protein ligase DOA10 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase DOA10)	SSM4 DOA10 YIL030C YI3299.01C YI9905.18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1319	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11641273, ECO:0000269|PubMed:17051211}; Multi-pass membrane protein {ECO:0000255}. Nucleus inner membrane {ECO:0000269|PubMed:11641273, ECO:0000269|PubMed:17051211}; Multi-pass membrane protein {ECO:0000255}.
P40319	reviewed	ELO3_YEAST	Elongation of fatty acids protein 3 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELO3) (Affecting plasma membrane ATPase activity protein 1) (Suppressor of RAD3 essential function protein 1) (Suppressor of Rvs161 and Rvs167 mutations protein 4) (Very-long-chain 3-oxoacyl-CoA synthase 3) (v-SNARE bypass mutant gene 1 protein)	ELO3 APA1 SRE1 SUR4 VBM1 YLR372W L8039.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	345	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12087109, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9832547}; Multi-pass membrane protein {ECO:0000305}.
P40327	reviewed	PRS4_YEAST	26S proteasome regulatory subunit 4 homolog (Tat-binding homolog 5)	RPT2 YHS4 YTA5 YDL007W D2920	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Nucleus {ECO:0000305}.
P40335	reviewed	PEP8_YEAST	Carboxypeptidase Y-deficient protein 8 (Vacuolar protein sorting-associated protein 26) (Vacuolar protein-targeting protein 4)	PEP8 GRD6 VPS26 VPT4 YJL053W J1152	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	379	
P40339	reviewed	RFC4_YEAST	Replication factor C subunit 4 (Replication factor C4) (Activator 1 37 kDa subunit)	RFC4 YOL094C O0923	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	323	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P40340	reviewed	ATAD2_YEAST	ATPase histone chaperone YTA7 (EC 3.6.1.-) (ATPase family AAA domain-containing protein YTA7) (AAA-ATPase) (Tat-binding homolog 7)	YTA7 YGR270W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1379	SUBCELLULAR LOCATION: Chromosome, centromere {ECO:0000269|PubMed:32079723}. Nucleus {ECO:0000269|PubMed:32079723}. Chromosome {ECO:0000269|PubMed:19683497, ECO:0000269|PubMed:22156209, ECO:0000269|PubMed:25406467}. Note=Binds near the 5'-end within protein-coding genes (PubMed:25406467, PubMed:19683497). Localizes to the negative regulatory element NEG and promoter of the HTA1 gene during G2 and M-phase, and its open reading frame during G1/S (PubMed:22156209, PubMed:19683497). {ECO:0000269|PubMed:19683497, ECO:0000269|PubMed:22156209, ECO:0000269|PubMed:25406467}.
P40341	reviewed	YTA12_YEAST	Mitochondrial respiratory chain complexes assembly protein YTA12 (EC 3.4.24.-) (Tat-binding homolog 12)	YTA12 RCA1 YMR089C YM9582.14C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	825	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:8681382}; Multi-pass membrane protein {ECO:0000269|PubMed:8681382}.
P40343	reviewed	VPS27_YEAST	Vacuolar protein sorting-associated protein 27 (Golgi retention defective protein 11)	VPS27 DID7 GRD11 SSV17 VPL23 VPT27 YNR006W N2038	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	622	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:12006563, ECO:0000269|PubMed:12900393, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15169871, ECO:0000269|PubMed:17101773, ECO:0000269|PubMed:17101785}; Peripheral membrane protein {ECO:0000269|PubMed:12006563, ECO:0000269|PubMed:12900393, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15169871, ECO:0000269|PubMed:17101773, ECO:0000269|PubMed:17101785}; Cytoplasmic side {ECO:0000269|PubMed:12006563, ECO:0000269|PubMed:12900393, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15169871, ECO:0000269|PubMed:17101773, ECO:0000269|PubMed:17101785}.
