Entry	Entry Name	Gene Names	Subcellular location [CC]
P0CX54	RL12B_YEAST	RPL12B RPL15A YDR418W D9461.7	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P0CX55	RS18A_YEAST	RPS18A YDR450W D9461.35	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P0CX56	RS18B_YEAST	RPS18B YML026C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P0CX63	YF21B_YEAST	TY2B-F YFLWTy2-1 POL YFL002W-A FN01	SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}.
P0CX64	YG22B_YEAST	TY2B-GR2 YGRWTy2-2 POL YGR161W-B G7017	SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}.
P0CX77	ASP22_YEAST	ASP3-2 YLR157C L9632.7	SUBCELLULAR LOCATION: Secreted. Periplasm.
P0CX78	ASP23_YEAST	ASP3-3 YLR158C L9632.8	SUBCELLULAR LOCATION: Secreted. Periplasm.
P0CX79	ASP24_YEAST	ASP3-4 YLR160C L9632.9	SUBCELLULAR LOCATION: Secreted. Periplasm.
P0CX80	MTCU1_YEAST	CUP1-1 MTH1 YHR053C	
P0CX81	MTCU2_YEAST	CUP1-2 MTH1 YHR055C	
P0CX82	RL19A_YEAST	RPL19A RPL23A YL14A YBR084C-A YBR084BC	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P0CX83	RL19B_YEAST	RPL19B RPL23B YL14B YBL027W YBL0424	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P0CX84	RL35A_YEAST	RPL35A SOS1 YDL191W D1249	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P0CX85	RL35B_YEAST	RPL35B SOS2 YDL136W D2170	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P0CY06	MTAL1_YEAST	MATALPHA1 ALPHA-1 MAT1A MATAL1 YCR040W YCR40W	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00655}.
P0CY08	MTAL2_YEAST	MATALPHA2 ALPHA-2 MAT2A MATAL2 YCR039C YCR39C	SUBCELLULAR LOCATION: Nucleus.
P0CZ17	ASP21_YEAST	ASP3-1 YLR155C L9632.6	SUBCELLULAR LOCATION: Secreted. Periplasm.
P10080	SSBP1_YEAST	SBP1 SSB1 SSBR1 YHL034C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16782896, ECO:0000269|PubMed:23222640}. Nucleus, nucleolus {ECO:0000269|PubMed:16782896, ECO:0000269|PubMed:2121740}. Cytoplasm, P-body {ECO:0000269|PubMed:16782896, ECO:0000269|PubMed:23222640}. Cytoplasm, Stress granule {ECO:0000269|PubMed:23222640}.
P10081	IF4A_YEAST	TIF1 TIF41A YKR059W; TIF2 TIF41B YJL138C J0660	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P10127	ADH4_YEAST	ADH4 ZRG5 YGL256W NRC465	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095}.
P10174	COX7_YEAST	COX7 YMR256C YM9920.10C	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Single-pass membrane protein {ECO:0000269|PubMed:30598554}.
P10363	PRI1_YEAST	PRI1 YIR008C YIB8C	
P10507	MPPB_YEAST	MAS1 MIF1 YLR163C L9632.10	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:3044780}.
P10591	HSP71_YEAST	SSA1 YAL005C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Secreted, cell wall {ECO:0000269|PubMed:14562095}.
P10592	HSP72_YEAST	SSA2 YLL024C L0931	SUBCELLULAR LOCATION: Cytoplasm. Secreted, cell wall.
P10614	CP51_YEAST	ERG11 CYP51 YHR007C	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000269|PubMed:16847258, ECO:0000269|PubMed:24613931}.
P10622	RLA3_YEAST	RPP1B L12EIIB RPL44P RPLA3 YDL130W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P10664	RL4A_YEAST	RPL4A RPL2 RPL2A YBR031W YBR0315	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102, ECO:0000269|PubMed:25936803}. Nucleus {ECO:0000269|PubMed:25936803}.
P10823	GPA2_YEAST	GPA2 SSP101 YER020W	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16030250}; Lipid-anchor {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16030250}; Cytoplasmic side {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16030250}.
P10862	RAD18_YEAST	RAD18 YCR066W YCR66W	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10880451}.
P10863	TIR1_YEAST	TIR1 SRP1 YER011W	SUBCELLULAR LOCATION: Secreted, cell wall. Membrane; Lipid-anchor, GPI-anchor. Note=Covalently-linked GPI-modified cell wall protein (GPI-CWP).
P10870	SNF3_YEAST	SNF3 YDL194W D1234	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2406560, ECO:0000269|PubMed:3281163}; Multi-pass membrane protein {ECO:0000269|PubMed:3281163}.
P10961	HSF_YEAST	HSF1 YGL073W	SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:3044613}.
P10962	MAK16_YEAST	MAK16 YAL025C	SUBCELLULAR LOCATION: Nucleus.
P10964	RPA1_YEAST	RPA190 RPA1 RRN1 YOR341W O6276	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.
P11075	SEC7_YEAST	SEC7 YDR170C YD9395.01C YD9489.05C	SUBCELLULAR LOCATION: Cytoplasm. Golgi apparatus. Note=Associated with the peripheral Golgi membrane.
P11076	ARF1_YEAST	ARF1 YDL192W D1244	SUBCELLULAR LOCATION: Golgi apparatus.
P11154	PYC1_YEAST	PYC1 PYV YGL062W	SUBCELLULAR LOCATION: Cytoplasm.
P11325	SYLM_YEAST	NAM2 MSL1 YLR382C L3502.6	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:1990003}.
P11353	HEM6_YEAST	HEM13 YDR044W YD5112.02	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:3516695}.
P11412	G6PD_YEAST	ZWF1 MET19 YNL241C N1110	
P11433	CDC24_YEAST	CDC24 CLS4 YAL041W	
P11484	SSB1_YEAST	SSB1 YG101 YDL229W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10347213, ECO:0000269|PubMed:23332755, ECO:0000305|PubMed:1394434}. Note=About 50% of the protein is associated with translating ribosomes, but sufficient Ssb exists in the cell for each ribosome to be associated with at least one Ssb molecule. {ECO:0000269|PubMed:1394434, ECO:0000269|PubMed:23332755, ECO:0000269|PubMed:9670014}.
P11491	PPB_YEAST	PHO8 YDR481C D8035.24	SUBCELLULAR LOCATION: [Repressible alkaline phosphatase]: Vacuole membrane; Single-pass membrane protein. Note=The full-length version is found in lysosome-like vacuoles.; SUBCELLULAR LOCATION: [Soluble alkaline phosphatase]: Cytoplasm. Note=The truncated version of the protein is soluble.
P11632	NHP6A_YEAST	NHP6A NHPA YPR052C YP9499.09C	SUBCELLULAR LOCATION: Nucleus. Chromosome. Note=Colocalizes with both RNA polymerase II and some regions that are not transcribed on chromatin.
P11633	NHP6B_YEAST	NHP6B NHPB YBR089C-A YBR090BC	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:14562095}. Chromosome {ECO:0000269|PubMed:14562095}.
P11655	SEC12_YEAST	SEC12 SED2 YNR026C N3244	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type II membrane protein. Golgi apparatus, cis-Golgi network membrane; Single-pass type II membrane protein. Note=Cycling between endoplasmic reticulum and the early Golgi.
P11709	BIK1_YEAST	BIK1 YCL029C YCL29C	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body. Cytoplasm, cytoskeleton, spindle. Cytoplasm. Note=And mitotic spindle.
P11710	FUS1_YEAST	FUS1 YCL027W YCL27W	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P11745	RNA1_YEAST	RNA1 YMR235C YM9959.17C	SUBCELLULAR LOCATION: Cytoplasm.
P11746	MCM1_YEAST	MCM1 FUN80 YMR043W YM9532.08	SUBCELLULAR LOCATION: Nucleus.
P11747	TAF13_YEAST	TAF13 FUN81 TAF19 YML098W	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P11792	SCH9_YEAST	SCH9 KOM1 YHR205W	
P11914	MPPA_YEAST	MAS2 MIF2 YHR024C	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:2007593}.
P11938	RAP1_YEAST	RAP1 GRF1 TUF1 YNL216W N1310	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96TL7}. Chromosome, telomere {ECO:0000250|UniProtKB:Q96TL7}.
P11972	SST2_YEAST	SST2 YLR452C L9324.9	
P11978	SIR4_YEAST	SIR4 ASD1 STE9 UTH2 YDR227W YD9934.12	SUBCELLULAR LOCATION: Nucleus.
P12294	ENS2_YEASX	ENS2 RF3	SUBCELLULAR LOCATION: Mitochondrion.
P12383	PDR1_YEAST	PDR1 AMY1 ANT1 BOR2 CYH3 NRA2 SMR2 TIL1 TPE1 TPE3 YGL013C	SUBCELLULAR LOCATION: Nucleus.
P12385	ERF1_YEAST	SUP45 SAL4 SUP1 YBR143C YBR1120	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P12611	WHI2_YEAST	WHI2 YOR043W	
P12630	BAR1_YEAST	BAR1 SST1 YIL015W	SUBCELLULAR LOCATION: Secreted.
P12683	HMDH1_YEAST	HMG1 YML075C	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:8744950}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000269|PubMed:14562095}.
P12684	HMDH2_YEAST	HMG2 YLR450W L9324.2	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:8744950}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000269|PubMed:14562095}.
P12688	YPK1_YEAST	YPK1 SLI2 YKL126W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10825204, ECO:0000269|PubMed:12221112, ECO:0000269|PubMed:14562095}. Cell membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Note=Intracellular localization is regulated by the intracellular sphingolipid levels. During the yeast cell cycle, distributed both on the plasma membrane and in the cytosol. Greater accumulation was detected on the plasma membrane, such as in the budding area, a daughter cell and the neck region of the mother cell in the S phase, and the septum between a mother cell and a daughter cell in the G2 phase.
P12689	REV1_YEAST	REV1 YOR346W O6339	SUBCELLULAR LOCATION: Nucleus. Mitochondrion.
P12695	ODP2_YEAST	LAT1 ODP2 PDA2 YNL071W N2374	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:14562095}.
P12709	G6PI_YEAST	PGI1 YBR196C YBR1406	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P78917}.
P12753	RAD50_YEAST	RAD50 YNL250W N0872	
P12754	EI2BD_YEAST	GCD2 TIF224 YGR083C	
P12866	STE6_YEAST	STE6 YKL209C	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
P12868	PEP5_YEAST	PEP5 END1 VAM1 VPL9 VPS11 VPT11 YMR231W YM9959.13	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:10944212}; Peripheral membrane protein {ECO:0000269|PubMed:10944212}; Cytoplasmic side {ECO:0000269|PubMed:10944212}.
P12904	AAKG_YEAST	SNF4 CAT3 SCI1 YGL115W	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17237508, ECO:0000269|PubMed:2481228, ECO:0000269|PubMed:3049255}. Cytoplasm {ECO:0000269|PubMed:17237508, ECO:0000269|PubMed:2481228}.
P12945	NAT1_YEAST	NAT1 AAA1 YDL040C D2720	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P12954	SRS2_YEAST	SRS2 HPR5 RADH YJL092W J0913	SUBCELLULAR LOCATION: Nucleus.
P12962	CAF20_YEAST	CAF20 CAF2 CAP20 YOR276W O5453W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P13099	TOP3_YEAST	TOP3 EDR1 YLR234W L8083.3	
P13134	KEX2_YEAST	KEX2 QDS1 YNL238W N1122	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane; Single-pass type I membrane protein.
P13185	KIN1_YEAST	KIN1 YDR122W YD9727.17	SUBCELLULAR LOCATION: Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side.
P13186	KIN2_YEAST	KIN2 YLR096W L8004.3	SUBCELLULAR LOCATION: Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side.
P13259	PCY1_YEAST	PCT1 CCT CCT1 YGR202C G7729	SUBCELLULAR LOCATION: Membrane. Note=Most of its activity is membrane-associated.
P13365	CG13_YEAST	CLN3 DAF1 WHI1 YAL040C FUN10	
P13382	DPOLA_YEAST	POL1 CDC17 YNL102W N2181	SUBCELLULAR LOCATION: Nucleus.
P13393	TBP_YEAST	SPT15 BTF1 TBP1 YER148W	SUBCELLULAR LOCATION: Nucleus.
P13433	RPOM_YEAST	RPO41 YFL036W	SUBCELLULAR LOCATION: Mitochondrion.
P13434	HAP3_YEAST	HAP3 YBL021C YBL0441	SUBCELLULAR LOCATION: Nucleus.
P13517	CAPZB_YEAST	CAP2 YIL034C	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, actin patch {ECO:0000269|PubMed:1315784}. Bud {ECO:0000269|PubMed:1315784}. Bud tip {ECO:0000269|PubMed:1315784}. Note=Found at cortical actin spots at the site of bud emergence and at the tips of growing buds and shmoos.
P13574	STE12_YEAST	STE12 YHR084W	SUBCELLULAR LOCATION: Nucleus.
P13586	ATC1_YEAST	PMR1 BSD1 SCC1 YGL167C G1666	SUBCELLULAR LOCATION: Golgi apparatus membrane; Multi-pass membrane protein.
P13587	ATN1_YEAST	ENA1 HOR6 PMR2 PMR2A YDR040C YD6888.02C	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:7664728, ECO:0000269|PubMed:9315618}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:7664728, ECO:0000269|PubMed:9315618}.
P13663	DHAS_YEAST	HOM2 YDR158W YD8358.12	
P13712	MSI1_YEAST	MSI1 CAC3 YBR195C YBR1405	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11238915}. Nucleus {ECO:0000269|PubMed:11238915}.
P13856	RSR1_YEAST	RSR1 BUD1 YGR152C G6658	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.
P14020	DPM1_YEAST	DPM1 SED3 YPR183W P9705.3	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15657391}; Single-pass type IV membrane protein {ECO:0000269|PubMed:15657391}; Cytoplasmic side {ECO:0000269|PubMed:15657391}.
P14064	HAP4_YEAST	HAP4 YKL109W YKL465	SUBCELLULAR LOCATION: Nucleus.
P14065	GCY1_YEAST	GCY1 GCY YOR120W O31567 YOR3269W	SUBCELLULAR LOCATION: Cytoplasm.
P14120	RL30_YEAST	RPL30 RPL32 YGL030W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.
P14126	RL3_YEAST	RPL3 MAK8 TCM1 YOR063W YOR29-14	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P14164	ABF1_YEAST	ABF1 BAF1 OBF1 REB2 SBF1 YKL112W YKL505	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15522095}.
P14180	CHS2_YEAST	CHS2 YBR038W YBR0407	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
P14242	PMS1_YEAST	PMS1 YNL082W N2317	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P14284	DPOZ_YEAST	REV3 PSO1 YPL167C P2535	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:16452144}. Nucleus {ECO:0000305}.
P14291	RED1_YEAST	RED1 YLR263W L8479.6	SUBCELLULAR LOCATION: Nucleus.
P14306	CPYI_YEAST	TFS1 DKA1 NSP1 YLR178C L9470.19	SUBCELLULAR LOCATION: Cytoplasm.
P14540	ALF_YEAST	FBA1 YKL060C YKL320	
P14680	YAK1_YEAST	YAK1 YJL141C J0652	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Shuttles between both compartments in response to glucose.
P14681	KSS1_YEAST	KSS1 YGR040W	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11781566}. Cytoplasm {ECO:0000269|PubMed:11781566}. Periplasm {ECO:0000269|PubMed:11781566}. Note=KSS1 shuttles rapidly between the cytoplasm and the nucleus independent of its activation state.
P14682	UBC3_YEAST	CDC34 DNA6 UBC3 YDR054C D4211 YD9609.08C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
P14693	SAM35_YEAST	SAM35 OMP85 TOB38 TOM38 YHR083W	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:14699090, ECO:0000269|PubMed:15326197}.
P14724	CDC26_YEAST	CDC26 HIT3 SCD26 YFR036W	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P14736	RAD4_YEAST	RAD4 YER162C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
P14737	RAD9_YEAST	RAD9 YDR217C YD9934.02C	SUBCELLULAR LOCATION: Nucleus.
P14741	EI2BA_YEAST	GCN3 AAS2 TIF221 YKR026C	
P14742	GFA1_YEAST	GFA1 YKL104C YKL457	
P14743	NMT_YEAST	NMT1 CDC72 YLR195C L8167.14	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P14747	PP2B2_YEAST	CMP2 CNA2 YML057W YM9958.05	
P14772	BPT1_YEAST	BPT1 YLL015W L1313	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:12044871}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:12044871}.
P14832	CYPH_YEAST	CPR1 CPH1 CYP1 SCC1 YDR155C YD8358.10C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15643056}. Nucleus {ECO:0000269|PubMed:15643056}. Mitochondrion intermembrane space {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:22984289}.
P14904	AMPL_YEAST	APE1 API LAP4 YSC1 YKL103C YKL455	SUBCELLULAR LOCATION: Vacuole {ECO:0000269|PubMed:24493041, ECO:0000269|PubMed:363165, ECO:0000269|PubMed:8601598}. Note=Transported to the vacuole by the cytosol-to-vacuole targeting (Cvt) pathway. {ECO:0000269|PubMed:9151668, ECO:0000269|PubMed:9214379, ECO:0000269|PubMed:9412464}.
P14906	SEC63_YEAST	SEC63 NPL1 PTL1 YOR254C	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein. Nucleus membrane; Multi-pass membrane protein. Nucleus inner membrane; Multi-pass membrane protein.
P14907	NSP1_YEAST	NSP1 YJL041W J1207	SUBCELLULAR LOCATION: Nucleus, nuclear pore complex. Nucleus membrane; Peripheral membrane protein; Cytoplasmic side. Nucleus membrane; Peripheral membrane protein; Nucleoplasmic side. Note=Symmetric distribution.
P14908	MTF1_YEAST	MTF1 YMR228W YM9959.10	SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:22984289}.
P14922	CYC8_YEAST	CYC8 CRT8 SSN6 YBR112C YBR0908	SUBCELLULAR LOCATION: Nucleus.
P15019	TAL1_YEAST	TAL1 YLR354C L9638.6	
P15108	HSC82_YEAST	HSC82 YMR186W YM8010.16	SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion.
P15180	SYKC_YEAST	KRS1 GCD5 YDR037W YD9673.09	SUBCELLULAR LOCATION: Cytoplasm.
P15202	CATA_YEAST	CTA1 YDR256C YD9320A.06C	SUBCELLULAR LOCATION: Peroxisome.
P15274	AMPD_YEAST	AMD1 AMD YML035C	
P15303	SEC23_YEAST	SEC23 YPR181C P9705.14	SUBCELLULAR LOCATION: Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:12235121, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:9568718}; Peripheral membrane protein {ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:8548805}; Cytoplasmic side {ECO:0000269|PubMed:8548805}. Cytoplasm {ECO:0000269|PubMed:8548805}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:8548805}; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}.
P15315	CUP2_YEAST	CUP2 ACE1 YGL166W G1810	SUBCELLULAR LOCATION: Nucleus.
P15367	SEC11_YEAST	SEC11 YIR022W	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10206957, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:2644273}; Single-pass type II membrane protein {ECO:0000269|PubMed:10206957, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:2644273}.
P15424	MS116_YEAST	MSS116 YDR194C YD9346.05C	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.
P15436	DPOD_YEAST	POL3 CDC2 TEX1 YDL102W D2366	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P15442	GCN2_YEAST	GCN2 AAS1 YDR283C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:2038314}.
P15454	KGUA_YEAST	GUK1 YDR454C D9461.39	
P15496	IDI1_YEAST	IDI1 BOT2 YPL117C LPH10C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P15565	TRM1_YEAST	TRM1 YDR120C YD9727.15C	SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion. Nucleus inner membrane; Peripheral membrane protein; Nucleoplasmic side. Note=Predominantly targeted to the nucleus.
P15624	SYFB_YEAST	FRS1 YLR060W L2165	SUBCELLULAR LOCATION: Cytoplasm.
P15625	SYFA_YEAST	FRS2 YFL022C	SUBCELLULAR LOCATION: Cytoplasm.
P15646	FBRL_YEAST	NOP1 LOT3 YDL014W D2870	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12756332, ECO:0000269|PubMed:2298745, ECO:0000269|PubMed:2686980}. Note=Fibrillar region of the nucleolus.
P15700	KCY_YEAST	URA6 SOC8 YKL024C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03172, ECO:0000269|PubMed:1333436, ECO:0000269|PubMed:8391780}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03172, ECO:0000269|PubMed:1333436, ECO:0000269|PubMed:8391780}. Note=Predominantly cytoplasmic. {ECO:0000255|HAMAP-Rule:MF_03172, ECO:0000269|PubMed:8391780}.
P15703	BGL2_YEAST	BGL2 SCW9 YGR282C	SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:9748433}. Note=Tightly bound to cell wall.
P15705	STI1_YEAST	STI1 YOR027W OR26.17	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P15731	UBC4_YEAST	UBC4 YBR082C YBR0745	
P15732	UBC5_YEAST	UBC5 YDR059C D4234 YD9609.13C	
P15790	CSK21_YEAST	CKA1 YIL035C	
P15801	DPOG_YEAST	MIP1 YOR330C	SUBCELLULAR LOCATION: Mitochondrion.
P15807	MET8_YEAST	MET8 YBR213W YBR1461	
P15873	PCNA_YEAST	POL30 YBR088C YBR0811	SUBCELLULAR LOCATION: Nucleus.
P15891	ABP1_YEAST	ABP1 YCR088W YCR88W	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, actin patch {ECO:0000269|PubMed:11950888, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15872087}. Note=Cortical actin patches.
P15938	PRP16_YEAST	PRP16 YKR086W YKR406	SUBCELLULAR LOCATION: Nucleus. Note=Binds to the spliceosome.
P15992	HSP26_YEAST	HSP26 YBR072W YBR0714	
P16140	VATB_YEAST	VMA2 VAT2 YBR127C YBR1002	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:2141385}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}.
P16370	RPB3_YEAST	RPB3 YIL021W	SUBCELLULAR LOCATION: Nucleus.
P16387	ODPA_YEAST	PDA1 YER178W	SUBCELLULAR LOCATION: Mitochondrion matrix.
P16451	ODPX_YEAST	PDX1 YGR193C G7579	SUBCELLULAR LOCATION: Mitochondrion matrix.
P16467	PDC5_YEAST	PDC5 YLR134W L3133 L9606.7	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
P16474	BIP_YEAST	KAR2 GRP78 SSD1 YJL034W J1248	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:2661018}.
P16521	EF3A_YEAST	YEF3 EFC1 TEF3 YEF3A YLR249W L9672.5	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P16522	CDC23_YEAST	CDC23 YHR166C	SUBCELLULAR LOCATION: Nucleus. Chromosome, centromere, kinetochore. Note=Associated with the kinetochore.
P16550	APA1_YEAST	APA1 DTP YCL050C YCL50C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
